Rank,School Name,School Type,Early Career Pay,Mid-Career Pay,% High Meaning,% STEM Degrees
32,Worcester Polytechnic Institute,"Engineering, Private School, Research University",70500,134700,0.49,0.87
33,University of Notre Dame,"Private School, Religious, Research University, For Sports Fans",64800,133800,0.48,0.26
34,Rensselaer Polytechnic Institute,"Engineering, Private School, Research University",68800,133400,0.5,0.76
35,Clarkson University,"Engineering, Private School, Research University",65800,132500,0.61,0.52
36,Georgia Institute of Technology-Main Campus,"Engineering, Research University, For Sports Fans, State School",69100,131600,0.48,0.78
37,Rice University,"Private School, Research University, For Sports Fans",67100,131300,0.5,0.5
38,Cooper Union for the Advancement of Science and Art,"Engineering, Private School, Sober School",66100,131100,0.54,0.54
39 (tie),Carnegie Mellon University,"Engineering, Private School, Research University",72800,130900,0.46,0.64
39 (tie),Swarthmore College,"Liberal Arts School, Private School",61300,130900,0.47,0.34
41,University of California-San Diego,"Engineering, Research University, State School",60300,130500,0.56,0.54
42 (tie),Haverford College,"Liberal Arts School, Private School",57700,130300,0.46,0.38
42 (tie),Lafayette College,"Liberal Arts School, Private School, Religious, For Sports Fans",62700,130300,0.44,0.41
